Name	Description	Lat	Long
Jack Leswick	Saskatoon	52.13249	-106.683119
Joe Starke	Toronto	43.652976	-79.382856
Don Smillie	Toronto	43.653225	-79.381139
Clarence "Teddy" Saunders	Ottawa	45.420543	-75.691767
Walter "Happy" Harnott	Montreal	45.511528	-73.550721
Del LaFrance	Chapleau	47.844487	-83.40436
Tom Coulter	Winnipeg 	49.898957	-97.136776
Maitland "Red" Conn	Hartney	49.480973	-100.521587
Bob "Pinkie" Davie	Beausejour	50.061696	-96.515872
Irv Frew	Kilsyth		
Burr Williams	Tulsa	36.15341	-95.991307
Walter "Jeff" Kalbfleisch	New Hamburg	43.379427	-80.711017
Max Kaminsky	Niagara Falls	43.089796	-79.088035
Jerry Shannon	Campbellford	44.308416	-77.797086
Bill Kendall	Winnipeg	49.898957	-97.136776
Jack Shill	Toronto	43.652976	-79.382856
Russ Blinco	Grande Mere	46.616561	-72.689565
Al Murray	Stratford	43.36951	-80.981931
John "Red" Doran	Belleville	44.163313	-77.386545
Ralph "Scotty" Bowman	Winnipeg	49.898957	-97.136776
Bill MacKenzie	Winnipeg	49.898957	-97.136776
Louis Trudel	Salem	42.519391	-70.89627
Jim "Peggy" O'Neill	Semans	51.40667	-104.73112
Jack Portland	Collingwood	44.500417	-80.217538
Lorne Carr	Stoughton	49.678689	-103.029693
Herbert Cain	Newmarket	44.059072	-79.461206
William "Flash" Hollett	North Sydney	46.206682	-60.252757
Gordon "Tony" Savage	Calgary	51.045074	-114.059049
Bob McCully	Stratford	43.36951	-80.981931
Norman "Dodger" Collings	Bradford	44.120221	-79.561994
Nels Crutchfield	Knowlton	45.219949	-72.512083
Fred Hergerts	Calgary	51.045074	-114.059049
Norm Locking	Owen Sound	44.569001	-80.940608
Eddie Finnigan	Shawville	45.603787	-76.491578
Jack McGill	Ottawa	45.420543	-75.691767
Bill Miller	Campbellton	48.007391	-66.671783
Sammy McManus	Belfast		
Bert Connelly	Montreal	45.511528	-73.550721
Charlie Mason	Seaforth	43.5537	-81.393467
Regis "Pep" Kelly	North Bay	46.308722	-79.46156
Pete Kelly	Winnipeg	49.898957	-97.136776
Tommy Anderson	Edinburgh		
Alex Motter	Melville	50.929508	-102.804478
Cliff "Fido" Purpur	Grand Forks	47.924942	-97.034708
Wilfred "Bucko" McDonald	Fergus	43.705961	-80.377835
Art Jackson	Toronto	43.652976	-79.382856
David "Sweeney" Schriner	Calgary	51.045074	-114.059049
Bob Davidson	Toronto	43.652976	-79.382856
Lynn Patrick	Victoria	48.428388	-123.365627
Bill Cowley	Bristol	45.531167	-76.458057
Nick Metz	Wilcox	50.097929	-104.722594
Hector "Toe" Blake	Walden	46.352984	-81.333923
Bob Blake	Ashland	46.58249	-90.886571
Jack Markle	Thessalon	46.255965	-83.556147
Max Bennett	Cobalt	47.39547	-79.686039
Eddie Ouellette	Ottawa	45.420543	-75.691767
Gaston Leroux	Montreal	45.507919	-73.553468
Conrad Bourcier	Montreal	45.511528	-73.550721
Jean-Louis Bourcier	Montreal	45.511528	-73.550721
Tony Hemmerling	Landis	52.199119	-108.451611
Orville "Rolly" Roulston	Toronto	43.652976	-79.382856
Phil Bessler	Melville	50.929508	-102.804478
Joffre Desilets	Capreol	46.706086	-80.922352
Polly Drouin	Verdun	45.455173	-73.569546
Norman Mann	Bradford		
Rod Lorrain	Ottawa	45.420543	-75.691767
Cliff Goupille	Trois-Rivieres	46.343385	-72.549593
Bert Gardiner	Saskatoon	52.13249	-106.683119
John Sherf	Calumet	47.246601	-88.454157
Ray Getliffe	Galt	43.361502	-80.316109
Mike Karakas	Aurora	47.530203	-92.237208
Modere "Mud" Bruneteau	Saint Boniface	49.88783	-97.117031
Alex Shibicky	Winnipeg	49.898957	-97.136776
Mac Colville	Edmonton	53.544455	-113.490859
Reg Hamilton	Toronto	43.652976	-79.382856
Joe Cooper	Winnipeg	49.898957	-97.136776
Walter "Babe" Pratt	Stony Mountain	50.087628	-97.219452
Phil Watson	Montreal	45.511528	-73.550721
Neil Colville	Edmonton	53.544455	-113.490859
Bobby Bauer	Waterloo	43.463906	-80.521829
Woody Dumart	Kitchener	43.434673	-80.478375
Milton Brink	Hibbing	47.426991	-92.935927
